Cauchy problem, variant 6
Exact solution: y = cos(sin(x)) + sin(cos(x))

x Euler Runge-Kutta Adams Exact
0.00 1.841471 1.841471 1.841471 1.841471
0.01 1.841317 1.841394 1.841394 1.841394
0.02 1.841009 1.841163 1.841163 1.841163
0.03 1.840547 1.840778 1.840778 1.840778
0.04 1.839931 1.840239 1.840239 1.840239
0.05 1.839161 1.839546 1.839546 1.839546
0.06 1.838238 1.838700 1.838700 1.838700
0.07 1.837161 1.837700 1.837700 1.837700
0.08 1.835931 1.836547 1.836547 1.836547
0.09 1.834548 1.835241 1.835241 1.835241
0.10 1.833012 1.833782 1.833782 1.833782
0.11 1.831323 1.832171 1.832171 1.832171
0.12 1.829482 1.830407 1.830407 1.830407
0.13 1.827490 1.828491 1.828491 1.828491
0.14 1.825346 1.826424 1.826424 1.826424
0.15 1.823050 1.824206 1.824206 1.824206
0.16 1.820605 1.821837 1.821837 1.821837
0.17 1.818008 1.819318 1.819318 1.819318
0.18 1.815263 1.816649 1.816649 1.816649
0.19 1.812367 1.813831 1.813831 1.813831
0.20 1.809324 1.810865 1.810865 1.810865
0.21 1.806132 1.807750 1.807750 1.807750
0.22 1.802793 1.804487 1.804487 1.804487
0.23 1.799306 1.801078 1.801078 1.801078
0.24 1.795674 1.797523 1.797523 1.797523
0.25 1.791896 1.793822 1.793822 1.793822
0.26 1.787973 1.789976 1.789976 1.789976
0.27 1.783906 1.785986 1.785986 1.785986
0.28 1.779695 1.781853 1.781853 1.781853
0.29 1.775342 1.777577 1.777577 1.777577
0.30 1.770847 1.773159 1.773159 1.773159
0.31 1.766211 1.768600 1.768600 1.768600
0.32 1.761435 1.763901 1.763901 1.763901
0.33 1.756520 1.759063 1.759063 1.759063
0.34 1.751466 1.754086 1.754086 1.754086
0.35 1.746275 1.748972 1.748972 1.748972
0.36 1.740948 1.743722 1.743722 1.743722
0.37 1.735484 1.738336 1.738336 1.738336
0.38 1.729887 1.732815 1.732815 1.732815
0.39 1.724155 1.727161 1.727161 1.727161
0.40 1.718292 1.721374 1.721374 1.721374
0.41 1.712296 1.715456 1.715456 1.715456
0.42 1.706170 1.709407 1.709407 1.709407
0.43 1.699915 1.703229 1.703229 1.703229
0.44 1.693532 1.696923 1.696923 1.696923
0.45 1.687021 1.690489 1.690489 1.690489
0.46 1.680385 1.683930 1.683930 1.683930
0.47 1.673624 1.677246 1.677246 1.677246
0.48 1.666739 1.670438 1.670438 1.670438
0.49 1.659731 1.663508 1.663508 1.663508
0.50 1.652603 1.656456 1.656456 1.656456
0.51 1.645354 1.649285 1.649285 1.649285
0.52 1.637987 1.641995 1.641995 1.641995
0.53 1.630502 1.634587 1.634587 1.634587
0.54 1.622902 1.627064 1.627064 1.627064
0.55 1.615186 1.619425 1.619425 1.619425
0.56 1.607356 1.611673 1.611673 1.611673
0.57 1.599415 1.603808 1.603808 1.603808
0.58 1.591363 1.595833 1.595833 1.595833
0.59 1.583201 1.587748 1.587748 1.587748
0.60 1.574931 1.579555 1.579555 1.579555
0.61 1.566554 1.571256 1.571256 1.571256
0.62 1.558072 1.562851 1.562851 1.562851
0.63 1.549486 1.554342 1.554342 1.554342
0.64 1.540797 1.545731 1.545731 1.545731
0.65 1.532008 1.537018 1.537018 1.537018
0.66 1.523119 1.528206 1.528206 1.528206
0.67 1.514132 1.519296 1.519296 1.519296
0.68 1.505048 1.510290 1.510290 1.510290
0.69 1.495869 1.501188 1.501188 1.501188
0.70 1.486597 1.491993 1.491993 1.491993
0.71 1.477233 1.482706 1.482706 1.482706
0.72 1.467778 1.473328 1.473328 1.473328
0.73 1.458234 1.463862 1.463862 1.463862
0.74 1.448603 1.454308 1.454308 1.454308
0.75 1.438887 1.444668 1.444668 1.444668
0.76 1.429086 1.434945 1.434945 1.434945
0.77 1.419202 1.425139 1.425139 1.425139
0.78 1.409238 1.415252 1.415252 1.415252
0.79 1.399195 1.405286 1.405286 1.405286
0.80 1.389074 1.395242 1.395242 1.395242
0.81 1.378877 1.385122 1.385122 1.385122
0.82 1.368606 1.374928 1.374928 1.374928
0.83 1.358263 1.364662 1.364662 1.364662
0.84 1.347849 1.354325 1.354325 1.354325
0.85 1.337366 1.343919 1.343919 1.343919
0.86 1.326815 1.333446 1.333446 1.333446
0.87 1.316199 1.322907 1.322907 1.322907
0.88 1.305519 1.312304 1.312304 1.312304
0.89 1.294777 1.301639 1.301639 1.301639
0.90 1.283975 1.290915 1.290915 1.290915
0.91 1.273115 1.280131 1.280131 1.280131
0.92 1.262198 1.269292 1.269292 1.269292
0.93 1.251226 1.258397 1.258397 1.258397
0.94 1.240202 1.247450 1.247450 1.247450
0.95 1.229127 1.236452 1.236452 1.236452
0.96 1.218002 1.225404 1.225404 1.225404
0.97 1.206830 1.214310 1.214310 1.214310
0.98 1.195613 1.203170 1.203170 1.203170
0.99 1.184353 1.191987 1.191987 1.191987
1.00 1.173051 1.180762 1.180762 1.180762
